id,login,company,created_at,type,fake,deleted,long,lat,country_code,state,city,location
133,FUNJRRXO,\N,8/3/12 16:09,USR,1,0,\N,\N,\N,\N,\N,\N
134,fffff,\N,2/9/11 12:05,USR,0,0,0,0,\N,\N,\N,\N
135,YYJXSXMA,\N,8/3/12 16:09,USR,1,0,\N,\N,\N,\N,\N,\N
136,gpjt,PythonAnywhere LLP,9/21/09 20:14,USR,0,0,-0.1277583,51.5073509,gb,Greater London,London,"London, UK"
137,ppcinside,\N,7/24/12 9:48,USR,0,0,0,0,\N,\N,\N,"Russia, Yekaterinburg"
138,hisohito,Coursera,3/11/12 10:18,USR,0,0,-122.4194155,37.7749295,us,San Francisco County,San Francisco,San Francisco
139,kerolasa,Cloudflare,1/19/11 10:16,USR,0,0,-3.435973,55.378051,gb,\N,\N,United Kingdom
140,SnowblindFatal,\N,9/21/11 13:56,USR,0,0,0,0,\N,\N,\N,\N
141,HHWCOUWI,\N,8/3/12 16:09,USR,1,0,\N,\N,\N,\N,\N,\N
142,github,\N,5/11/08 2:37,ORG,0,0,-122.4196396,37.77711868,us,CA,San Francisco,"San Francisco, CA"
143,timfel,Oracle,1/13/09 11:10,USR,0,0,13.0644729,52.3905689,de,Brandenburg,Potsdam,"Potsdam, Germany"
144,villadora,"Ant,Tmall, DP, MS",4/12/11 12:48,USR,0,0,121.4737021,31.2303904,cn,Shanghai,Shanghai,"Shanghai,China"
145,Mirocow,Mirocow company,8/26/10 1:03,USR,0,0,37.6172999,55.755826,ru,Moscow,Moscow,Russia Moscow
146,luisparravicini,\N,1/8/09 19:15,USR,0,0,0,0,\N,\N,\N,"Necochea, Argentina"
147,gregschoen,\N,6/13/10 4:36,USR,0,0,-88.7878678,43.7844397,us,Wisconsin,\N,Wisconsin
148,mathewpeterson,\N,2/13/10 20:03,USR,0,0,0,0,\N,\N,\N,"Marinette, WI"
149,Goulie81,\N,9/27/11 17:16,USR,0,0,0,0,\N,\N,\N,\N
150,myabc,Trailblazer GmbH @trailblazer ,2/24/08 18:04,USR,0,0,-1.2577263,51.7520209,gb,Oxfordshire,Oxford,"Oxford, England"
152,gruenewa,Europace AG,9/7/10 15:28,USR,0,0,13.40232849,52.50140762,de,BE,\N,"Berlin, Germany"
153,nitram509,#NAME?,11/11/11 20:32,USR,0,0,10.451526,51.165691,de,\N,\N,GERMANY
154,wallysalami,\N,8/2/12 12:46,USR,0,0,-43.1728965,-22.9068467,br,Rio de Janeiro,Rio de Janeiro,"Rio de Janeiro, Brazil"
